Porosity,Permeability,Available fluid,Oil saturation,Total hydrocarbon (gas measurement),Total hydrocarbon (light hydrocarbon),Number of peaks,Benzene,Toluene,Methyl cycloalkane index,C1-C5/full hydrocarbon,C1/full hydrocarbon
,,,,0.606,1422.545,7,0,0,0,1,0.8172444
,,,,0.224,,,,,,,
,,,,0.986,1083.202,20,0,0,0,0.8831604,0.6470594
,,,,0.294,,,,,,,
,,,,3.201,1930.557,11,0,0,0,0.932752,0.6734631
,,,,4.168,157.597,7,0,0,0,1,0.7920836
,,,,0.355,,,,,,,
,,,,0.621,2790,23,0,0,0.5262849,0.8794937,0.6491209
,,,,0.276,,,,,,,
,,,,0.407,,,,,,,
,,,,0.463,4565.492,27,6.174,0,0,0.8532212,0.5350494
,,,,0.645,2219,30,0,0,1.182977,0.5950341,0.2667646
,,,,0.727,1693.814,15,0,0,0,0.9189863,0.6843359
,,,,0.318,,,,,,,
,,,,0.378,,,,,,,
,,,,0.279,,,,,,,
,,,,0.326,,,,,,,
,,,,0.994,,,,,,,
,,,,0.672,,,,,,,
,,,,1.589,,,,,,,
,,,,7.715,,,,,,,
,,,,0.605,,,,,,,
,,,,3.54,,,,,,,
,,,,0.922,,,,,,,
,,,,1.252,5959.543,21,0,0,0,0.9535034,0.6312701
,,,,0.638,,,,,,,
,,,,0.549,,,,,,,
,,,,0.524,4401.442,12,0,0,0,0.9893557,0.6967863
,,,,0.515,,,,,,,
,,,,0.458,4194.901,39,5.437,7.262,0.6403144,0.7943219,0.4316979
,,,,0.555,,,,,,,
,,,,0.7,,,,,,,
,,,,0.7,5924.285,15,0,0,0,0.9844655,0.7048823
,,,,0.929,,,,,,,
,,,,0.876,,,,,,,
,,,,0.742,,,,,,,
,,,,0.696,2161.21,15,0,0,0,0.9063177,0.4260789
,,,,0.722,,,,,,,
,,,,0.751,1947.887,14,0,0,0.2035146,0.8371266,0.4590585
,,,,0.972,,,,,,,
,,,,0.992,1109.93,10,0,0,0,0.9702802,0.9543602
,,,,0.261,,,,,,,
,,,,0.322,,,,,,,
,,,,0.565,,,,,,,
,,,,0.565,,,,,,,
,,,,0.825,4518.428,23,0,0,0.2837679,0.9566675,0.6022339
,,,,0.691,,,,,,,
,,,,0.794,4656.145,36,9.043,47.89,0.4258003,0.646691,0.3160692
,,,,0.441,,,,,,,
,,,,0.39,,,,,,,
,,,,0.482,11214.46,57,22.047,45.054,0.7441609,0.7711892,0.3595334
,,,,0.406,,,,,,,
,,,,0.779,,,,,,,
,,,,0.912,,,,,,,
,,,,5.918,,,,,,,
,,,,5.894,,,,,,,
,,,,4.775,,,,,,,
,,,,4.699,,,,,,,
,,,,2.167,,,,,,,
,,,,1.602,,,,,,,
,,,,1.487,,,,,,,
,,,,1.725,,,,,,,
,,,,0.977,,,,,,,
,,,,1.833,,,,,,,
,,,,2.062,,,,,,,
,,,,0.946,,,,,,,
,,,,0.321,,,,,,,
,,,,1.313,1598.367,29,0,11.227,0.3687116,0.6582124,0.4897323
,,,,16.153,,,,,,,
,,,,4.515,,,,,,,
,,,,1.981,,,,,,,
,,,,10.328,,,,,,,
,,,,2.993,,,,,,,
,,,,5.637,,,,,,,
,,,,5.816,,,,,,,
,,,,4.936,,,,,,,
,,,,4.87,,,,,,,
,,,,3.255,,,,,,,
,,,,1.901,,,,,,,
,,,,1.274,,,,,,,
,,,,2.539,,,,,,,
,,,,3.8,,,,,,,
,,,,2.886,,,,,,,
,,,,2.191,,,,,,,
,,,,3.16,,,,,,,
,,,,3.35,,,,,,,
,,,,1.042,,,,,,,
,,,,0.792,,,,,,,
,,,,1.121,,,,,,,
,,,,1.765,6470.3,61,3.016,10.256,2.244889,0.6703966,0.156485171
,,,,8.595,9555.734,63,29.077,236.017,1.917178,0.3190569,0.112848788
,,,,1.78,8479.974,41,11.423,13.258,1.263216,0.849566,0.294131916
,,,,0.41,,,,,,,
,,,,0.603,,,,,,,
,,,,3.769,,,,,,,
,,,,8.173,,,,,,,
,,,,12.49,,,,,,,
,,,,10.955,,,,,,,
,,,,1.595,,,,,,,
,,,,3.653,,,,,,,
,,,,3.67,,,,,,,
,,,,2.35,,,,,,,
,,,,0.872,,,,,,,
,,,,1.653,,,,,,,
,,,,9.723,17752.66,23,17.26,0,0,0.9941479,0.9597401
,,,,19.395,,,,,,,
,,,,3.575,21796.03,15,15.824,0,0,0.9933787,0.9631502
,,,,6.824,3333.507,7,0,0,0,1,0.9207381
,,,,20.863,13926.01,31,9.582,10.63,4.988982,0.9622621,0.7316359
,,,,29.682,13926.01,31,9.582,10.63,4.988982,0.9622621,0.7316359
,,,,10.452,26677.28,63,161.095,51.984,4.111101,0.6396194,0.411498
